F,H,X_1,X_2,X_3
1/1/2017,0,0.48,,
1/1/2017,1,0.7,,
1/1/2017,2,0.72,,
1/1/2017,3,0.72,,
,4,0.73,,
1/1/2017,-5,0.73,,
1/1/2017,6,0.69,,
1/1/2017,7,0.63,,
1/1/2017,8,0.61,,
1/1/2017,9,0.6,,
1/1/2017,10,0.57,,
1/1/2017,11,0.55,,
1/1/2017,12,0.52,,
1/f/2017,13,0.49,,
1/1/2017,14,0.48,,
1/1/2017,15,0.46,,
1/1/2017,16,0.44,,
1/1/2017,17,0.42,,
1/1/2017,18,0.42,,
1/1/2017,19,0.43,,
1/1/2017,20,0.43,,
1/1/2017,21,0.44,,
1/1/2017,22,0.46,,
1/1/2017,23,0.48,,
2/1/2017,0,0.52,,
2/1/2017,1,0.49,,
2/1/2017,2,0.49,,
2/1/2017,3,0.47,,
2/1/2017,4,0.45,,
2/1/2017,5,0.42,,
2/1/2017,6,0.38,,
2/1/2017,7,0.34,,
2/1/2017,8,0.33,,
2/1/2017,9,0.33,,
2/1/2017,10,0.33,,
2/1/2017,11,0.33,,
2/1/2017,12,0.35,,
2/1/2017,13,0.37,,
2/1/2017,14,0.4,,
2/1/2017,15,0.43,,
2/1/2017,16,0.45,,
2/1/2017,17,0.45,,
2/1/2017,18,0.46,,
2/1/2017,19,0.48,,
2/1/2017,20,0.49,,
2/1/2017,21,0.51,,
2/1/2017,22,0.51,,
2/1/2017,23,0.51,,
3/1/2017,0,0.89,,
3/1/2017,1,0.53,4,
3/1/2017,2,0.54,4,
3/1/2017,3,0.54,3,
3/1/2017,4,0.52,2,
3/1/2017,5,0.51,2,
3/1/2017,6,0.5,2,
3/1/2017,7,0.49,2,
3/1/2017,8,0.48,3,
3/1/2017,9,0.48,3,
3/1/2017,10,0.49,3,
3/1/2017,11,0.51,3,
3/1/2017,12,0.55,3,
3/1/2017,13,0.58,,
3/1/2017,14,0.65,,
3/1/2017,15,0.72,,
3/1/2017,16,0.8,,
3/1/2017,17,0.87,,
3/1/2017,18,0.91,,
3/1/2017,19,0.92,,
3/1/2017,20,0.94,,
3/1/2017,21,0.96,,
3/1/2017,22,0.96,,
3/1/2017,23,0.94,,
4/1/2017,0,0.91,,
4/1/2017,1,0.86,,
